INa_IC50,INa_h,INaL_IC50,INaL_h
2.499e+09,1.667,32470,0.5393
2.554e+09,1.643,31250,0.5466
2.456e+09,1.947,31340,0.6302
2.269e+09,1.994,43010,0.5053
2.397e+09,1.997,45440,0.532
2.482e+09,1.995,32440,0.51
2.418e+09,1.955,50750,0.5124
2.451e+09,1.999,32610,0.6728
2.874e+09,1.827,44540,0.5925
2.541e+09,1.845,33580,0.5456
2.54e+09,1.983,37800,0.6001
2.664e+09,1.981,26940,0.5719
2.431e+09,1.815,30040,0.504
2.348e+09,1.887,44230,0.6112
2.471e+09,1.725,40220,0.689
2.481e+09,1.93,36640,0.5872
2.402e+09,1.892,37930,0.5637
2.396e+09,1.963,55940,0.5984
2.245e+09,1.96,57740,0.5632
2.43e+09,1.982,53280,0.582
2.405e+09,1.994,47480,0.5201
2.48e+09,1.987,48800,0.5312
2.514e+09,1.822,36130,0.5493
2.822e+09,1.721,46170,0.5089
2.178e+09,1.853,35450,0.5708
2.213e+09,1.985,47590,0.6051
2.956e+09,1.705,52030,0.5579
2.511e+09,1.659,39950,0.5364
2.4e+09,1.923,34380,0.5772
2.601e+09,1.988,34000,0.518
2.609e+09,1.953,47810,0.7174
2.839e+09,1.996,48170,0.5576
2.625e+09,1.967,38520,0.5663
2.599e+09,1.739,30300,0.6056
2.517e+09,1.862,28040,0.5133
2.5e+09,1.967,37360,0.5003
2.426e+09,1.907,53640,0.5756
2.553e+09,1.987,64470,0.541
2.605e+09,1.955,38750,0.5125
2.237e+09,1.913,47710,0.5936
2.22e+09,1.934,33640,0.5352
2.672e+09,1.758,33870,0.6448
2.543e+09,1.75,38970,0.6102
2.881e+09,1.662,49260,0.5091
2.452e+09,1.953,44940,0.5208
2.356e+09,1.987,43480,0.5844
2.239e+09,1.964,34020,0.5084
2.362e+09,1.941,46840,0.5656
2.576e+09,1.865,42230,0.5146
2.374e+09,1.801,44970,0.5234
2.452e+09,1.982,41250,0.5012
2.261e+09,1.97,51040,0.5164
2.38e+09,1.984,41410,0.5281
2.51e+09,1.924,32590,0.5135
2.352e+09,1.977,28910,0.5128
2.416e+09,1.972,26830,0.5886
2.539e+09,1.921,43180,0.509
2.523e+09,1.962,42090,0.5481
2.444e+09,1.905,38560,0.5607
2.419e+09,1.975,39560,0.6322
2.33e+09,1.918,22770,0.6035
2.672e+09,1.882,81220,0.6552
2.17e+09,1.889,40750,0.5579
2.325e+09,1.994,37800,0.5259
2.687e+09,1.948,37960,0.5485
2.38e+09,1.987,48710,0.5127
2.367e+09,1.935,33200,0.7036
2.095e+09,1.981,52930,0.5396
2.446e+09,1.901,66940,0.5192
2.254e+09,1.852,58790,0.5676
2.158e+09,1.969,36700,0.5048
2.523e+09,1.869,42870,0.5175
2.471e+09,1.954,52170,0.5354
2.469e+09,1.962,49980,0.6051
2.39e+09,1.967,35170,0.5085
2.362e+09,1.978,36310,0.6395
2.762e+09,1.842,45520,0.6643
2.484e+09,1.859,33900,0.5649
